Llave,Valor,Image Name
La Lactancia Materna,"Siempre dar un consejo claro y específico sobre la importancia de la lactancia materna.
",
Perineo,"Preguntarle si se pasa la orina y la apertura de los intestinos con regularidad.

Preguntar si tenía lágrimas durante el parto que requiere sutura.

Preguntar si ella está teniendo ningún dolor perineal.

El dolor perineal debería mejorar gradualmente después de la entrega, si está aumentando o asociado con el calor o el olor ofensivo, examinar para signo de infección.

suturas perineales por lo general deben ser solubles y por lo tanto no requiere la eliminación.

Si un desgarro perineal reparados previamente se ha roto, no intente volver a la sutura, dar antibióticos Mantenga el área limpia (uso sólo agua limpia) y seco y dejar que se cure por segunda intención.

Metronidazol 500 mg PO Y TDS
Cefalexina 500 mg PO TDS
Durante 7 días.
",
"Planificación Familiar
","El período posparto es una oportunidad muy importante para discutir la planificación familiar y debe ser discutida con todos los pacientes.

No se requiere ningún método de planificación familiar en los primeros 21 días después del parto, pero los métodos se puede iniciar durante este periodo si se desea.

Las mujeres que están amamantando totalmente y está en amenorrea pueden utilizar esto como una forma de anticoncepción durante los primeros seis meses después del parto.

Tiempo de paro de la noche se alimenta, la introducción de alimentos complementarios, usando maniquíes o chupetes o extracción de la leche puede reducir la eficacia.

Depot se puede iniciar en cualquier momento después de la entrega <b> incluyendo inmediatamente posterior a la entrega </b>

Dar vitaminas prenatales a todas las mujeres después del parto y todas las mujeres en edad fértil.
",
$Presentaciones Emergencia,,
12.1 La Hipoglucemia,,
Causas,"-Alumnos de medicamentos para la diabetes.
mujeres en periodo de -Amamante que no han comido.
-Fasting pacientes sin reservas de glucógeno.
Reactivo - después de la comida grande.
-Enfermedad cronica del higado.
enfermedad hepática -Metastatic.",
Diagnósticos,"glucosa -sangre bajo 72 mg / dl (4.0 mmol / L).
-En caso siempre ser tratado.
prueba-repetición en caso de duda",
Tratamiento,"Bien paciente:
10-20g glucosa se administra por vía oral, ya sea en forma líquida o como azúcar granulado (dos cucharadas) o terrones de azúcar.

Repita la glucosa en sangre capilar después de 10-15 minutos; si el paciente es todavía hipoglucemiante entonces el anterior se puede repetir.

Si el paciente está en Glibenclamida u otro medicamento para la diabetes de acción prolongada, insertar y cánula IV y monitorear azúcar en la sangre durante una hora (2-3 horas con glibenclamida). se puede producir hipoglucemia de rebote. Enure el paciente continúa para comer. Detener el medicamento que la causa y organizar un examen de medicina interna urgente.

Mal estado de salud, somnolencia o falta de cooperación del paciente:
La administración intravenosa de 250-500ml, 5% STAT dextrosa. En esta etapa el ingreso hospitalario de emergencia será necesario.

[8]",
12.2 Cad Y Hss,,
Presentación,"cetoacidosis diabética (CAD) y el estado hiperosmolar hiperglucémico (HHS) son complicaciones metabólicas agudas de la diabetes mellitus que pueden ocurrir en pacientes con tanto de tipo 1 y 2 diabetes mellitus.

El diagnóstico oportuno, la evaluación clínica y bioquímica completa, y una gestión eficaz es clave para la resolución exitosa de CAD y SHH.

Los componentes críticos de la gestión de las crisis de hiperglucemia incluyen la coordinación de la reanimación con líquidos, el tratamiento con insulina, y la reposición de electrolitos junto con la monitorización continua del paciente usando herramientas de laboratorio disponibles para predecir la resolución de la crisis de hiperglucemia '.",
Causas,"<b> Causas de CAD y SHH </b>
-previamente pacientes no diagnosticados.
-poor adherencia a la medicación.
: Infección / sepsis.
Deshidratación / vómitos.
-Alcohol.
-Trauma / cirugía.
-PE, MI, otro tipo de estrés.",
Diagnóstico,"<b> cetoacidosis diabética (CAD) </b>
-Criada azúcar en sangre y
-Criada cetonas (urinaria ++ / suero) y
-Acidosis
-Más común en la DM tipo 1.

Los pacientes suelen ser mal o comatosed. Tienen el olor aliento 'gota de pera' característica (a partir de las cetonas). No podemos confirmar el diagnóstico CAD pero si un paciente no se encuentra bien tiene un alto nivel de azúcar y cetonas urinarias +++ luego tener un bajo umbral de manejar como la cetoacidosis diabética. Los niños a menudo se quejan de dolor abdominal. La CAD ocurre generalmente dentro de horas del factor precipitante.

<b> hiperglucémico hiperosmolar Estado (HHS). </b>
-Anteriormente conocido como HONK.
-Muy glucosa en la sangre alta.
-Severe deshidratación.
-Más común en DM tipo 2.",
Administración,"<b> CAD mangagement </b>
-El tratamiento más importación inicial es fluidos IV. *
-Este ayudará a aumentar la producción de orina y ayudan a comenzar a revertir la acidosis.
-Dar IV ceftriaxona si mal.
-Urgent transporte al hospital continente.
-Considere insulina IV. **

* <I> Adultos 1 litro / hora durante 1-2 horas. Niños: 10-20ml / kg / hora. Sea cauteloso en pacientes con insuficiencia cardíaca, la fragilidad y la desnutrición. </ I>

** <i> 1) si está disponible 2) el proveedor es competente en dar (0,05 Unidades / kg / hora). Si el hospital es de 1-2 horas o menos lejos entonces fluidos IV y el transporte será suficiente. </ I>

<b> HSS mangagement </b>
-El tratamiento más importación inicial es fluidos IV. *
-Este ayudará a aumentar la producción de orina y ayudan a comenzar a revertir la acidosis.
-Dar IV ceftriaxona si mal.
-Urgent transporte al hospital continente.

* <I> Adultos 1 litro / hora durante 1-2 horas. Niños: 10-20ml / kg / hora. Sea cauteloso en pacientes con insuficiencia cardíaca, la fragilidad y la desnutrición. </ I>



",
Referencias,"Gosmanov AR, Gosmanova EO, Kitabchi AE. Las crisis de hiperglucemia: cetoacidosis diabética (CAD), Y hiperglucémico hiperosmolar Estado (HHS) [Actualización 17 de 2018 podrá]. En: Feingold KR, Anawalt B, Boyce A, et al, editores.. Endotext [Internet]. South Dartmouth (MA): MDText.com, Inc .; 2000-. Disponible a partir de: https://www.ncbi.nlm.nih.gov/books/NBK279052/
",
12.3 La Sepsis,,
Definición,"La sepsis se define como una “amenaza para la vida disfunción orgánica causada por una respuesta del huésped a la infección desregulada”.

La evolución incluye: infección → bacteriemia → → sepsis sepsis grave shock séptico → → síndrome de disfunción orgánica múltiple (MODS) → muerte.

La identificación temprana y la gestión adecuada es esencial para mejorar los resultados en pacientes sépticos.

El objetivo principal de la gestión en nuestro medio es la rápida restauración de la perfusión, la administración precoz de antibióticos y transporte urgente al centro de atención secundaria más cercana.",
La Identificación De La Sepsis,"ABCDE evaluación. <b> No se olvide de glucosa </b>

<b> La presentación clínica </b>
hipotensión
(Sistólica: Bajo 100 mmHg o disminución por 40+ mmHg).

Taquicardia (más de 100 latidos / min).

La taquipnea (RR más de 20 respiraciones / min).

La hiperglucemia
(Glucosa más de 140 mg / dl en ausencia de diabetes).

Signos y síntomas específicos de una fuente infecciosa.

Los signos de la perfusión de los órganos diana (shock).

Disminución de la recarga tapa, cianosis, moteado.

Estado mental alterado.

Reducción de la producción de orina; sonidos intestinales ausente.

<b> puntuación qSOFA </b>
(2 + asociada con un peor pronóstico)

tasa -Respiratory más de 22.
-Systolic BP menos de 100 mmHg.
-Estado mental alterado.

<I> * qSOFA -. La falta de evaluación rápida sepsis relacionada Organ </ i>

Una historia y examen físico detallado es crucial para evaluar la presencia de un foco de infección.

Una revisión completa de sistemas se debe realizar para buscar signos y síntomas infecciosos, múltiples fuentes pueden ser encontrados.
",
Gestión Inmediata,"<b> Airway Secure </b>
La intubación / ventilación mecánica puede ser necesaria si el paciente tiene la encefalopatía o disminución del nivel de conciencia (GCS bajo 8).

<b> correcta hipoxemia </b>
Proporcionar O 2 suplementario a todos los pacientes sépticos.

Velocidad de flujo de 4-10 L / min con una simple máscara de cara.

monitorear continuamente la oximetría de pulso para lograr el objetivo de 94-98% de saturación de O2 (a menos EPOC grave conocido, el 92% puede ser más apropiado para evitar tipo 2 insuficiencia respiratoria).

<b> Establecer IV Acceso </b>
Al menos 2 líneas venosa periférica para fluidos y antibióticos, (calibre mínimo - 20G rosa, 18G idealmente verde).
",
Resucitación,"la reposición de líquidos temprana es una prioridad en la hipoperfusión inducida por la sepsis o shock séptico, que puede manifestarse por la presión arterial baja, disminución de la recarga de tapa, disminución de la producción de orina, y / o alteración del estado mental. fluidos agresivos IV con solución salina normal deben administrarse dentro de las primeras 3 horas de presentación.

<b> Adultos </b>
Inicialmente con retos de fluidos repetidas de 500 ml.

500 ml de fluido se da stat y el paciente se vuelve a evaluar después de mejora y para detectar señales de sobrecarga de líquidos.

Una vez que la presión arterial y el ritmo cardíaco y la producción de orina han mejorado, los fluidos se pueden dar más de 2-4 horas con monitorización regular.

* <I> En pacientes de edad avanzada, pacientes desnutridos y pacientes con enfermedad cardíaca conocida / riñón que debería ser mucho más cauteloso y comenzar con los retos de fluidos en bolo de 250 ml. </ I>

<b> Los niños </b>
Directrices de la OMS recomiendan la reanimación con líquidos inicial en la edad pediátrica con hipotensión grave:

Menores de 12 meses de edad: PAS por debajo de 50 mmHg
1-5 años: SBP menor de 60 mmHg
más de 5 años de edad: PAS menores de 70 mmHg

Más de 2 años- salina normal 20 mL / kg de bolo IV (menos de 5 minutos).

Los niños desnutridos y niños menores de 2 años - Solución salina normal 10 ml / kg de bolo IV (menos de 5 minutos).

Continuamente reevaluar estado de la perfusión y administrar bolos repite hasta que la perfusión ha mejorado, la presión de la sangre es aceptable, o signos de sobrecarga de líquidos desarrollar (es decir. Edema pulmonar).

Tenga cuidado con la administración excesiva de líquidos en pacientes con antecedentes de insuficiencia cardíaca crónica.
",
Los Antibióticos Sepsis,"adultos:
La ceftriaxona 2 g IV cada 24 horas durante 7-10 días,

Los recién nacidos (menos de 1 mes):
Ceftriaxona 50 mg / kg IV cada 24 horas.
Durante 7-10 días.

Los niños de hasta 17 años de edad:
Ceftriaxona 80 mg / kg IV cada 24 horas.
Durante 7 días.

* <I> Ceftriaxona dosis diaria máxima 4g a cualquier edad -. Para la infección del SNC </ i>

Añadir metronidazol por vía oral para la cobertura anaeróbica.

Añadir ciprofloxacina oral si sospechosa de Enterococcus sp., Pseudomonas, o atípicos.
",
12.4 La Anafilaxia,,
Diagnóstico,"<b> Dos o más de los siguientes </b> *

Implicación del tejido de piel de la mucosa (por ejemplo urticaria generalizada, comezón-ras, hinchados labios-lengua-úvula).

compromiso respiratorio (por ejemplo, disnea, sibilancias broncoespasmo, estridor, la reducción de PEF, hipoxemia).

síntomas reducidos BP o asociados (por ejemplo, hipotonía [colapso], síncope, incontinencia).

síntomas gastrointestinales persistentes (.l.e.g. calambre dolor abdominal, vómitos).

<I> ocurriendo rápidamente después de la exposición (minutos a varias horas) a un posible alérgeno para ese paciente. </ I>

Siempre se debe considerar Angio-edema como un efecto secundario, cuando el paciente está usando un inhibidor del ACE.

Síntomas de la piel y los signos pueden estar ausentes si un paciente ha tomado ya un antihistamínico H1.
",
Tratamiento,"A - Asegúrese de patente de la vía aérea. Utilice los accesorios de las vías respiratorias si es necesario.

B - Dar oxígeno en caso de saturaciones bajas (objetivo sat> 95%). Dar Salbutamol (con dispositivo espaciador o nebulizador) en caso de broncoespasmo.

C - IM de 0,5 mg de adrenalina I. M. mediados del exterior del muslo. Si no es un Adulto ver tabla. Comience 500ml - 1L NaCl 0,9% por vía intravenosa. (Se puede encontrar en bolsa de emergencia).

D - dextrosa al 5% si la hipoglucemia.

E - difenhidramina (Benadryl) de 25 a 50 mg IV, administrada durante cinco minutos (H1 antagonista). Se puede dar como una liberación de picores y ronchas. Garantizar paciente ya no está expuesto a ningún alérgenos potenciales.

<b> No mejora dentro de 5 minutos </b>
hipotensión:
Lay plana paciente, y continuar para dar líquidos IV.

Problemas respiratorios:
Deje que el paciente permanezca en posición vertical.

Náusea:
Ponga la cabeza hacia los lados.

Dar una segunda dosis de adrenalina IM, igual a la primera dosis.

Considere una dosis de 30-50 mg prednisolona oral una vez al día durante 3 días. Si no puede tomar 8 mg iv oral o dexametasona para la prevención de la aparición tardía reacción.

Observación para <6 horas, o los más posible.

Trate de identificar alérgenos. Brindar asesoramiento sobre la anafilaxia.

Consulte el hospital más cercano.
",
La Adrenalina Im,"Si el paciente cumple con los criterios de la anafilaxis dan adrenalina intramuscular tan pronto como sea posible.

No existen contraindicaciones de dar adrenalina a un paciente en un entorno anafiláctico.

Inyectar la cantidad de la tabla de debajo intramuscular en mediados exteriores del muslo (músculo vasto lateral).

La epinefrina disponible es de 1 mg en 1 ml:",adrenaline_table
12.5 Alergias No Anafilácticas,,
Administración,"<b> Mild Reacción alérgica </b>
Dar Loratadina 10 mg orales

<b> Reacción alérgica grave </b>
Difenhidramina (Benadryl) 25-50 mg IV, administrada durante cinco minutos (H1 antagonista).

Prednisolona 30-50 mg una vez al día durante 3 días.

Seguimiento en 24 horas si es posible.

Asesoramiento.

Considerar la derivación, si no mejora.
",
12.5 Cardiac Arrest,,
Evaluación,"Evaluar la seguridad de la situación y no se acercan a los pacientes si no es seguro hacerlo.

Confirmar un paro cardíaco por apariencia, sensación escuchar la respiración y el pulso durante 10 segundos.

Inmediatamente iniciar las compresiones torácicas y ventilación a razón de 30: 2 (adulto), 15: 1 niños. Adjuntar AED en primera oportunidad.

evaluación y gestión ABCDE como se detalla a continuación.

A - complemento de la vía aérea o intubación.

B - La bolsa y la máscara con alto flujo de oxígeno. (Ventilación continua y compresiones torácicas si intubado)

C - 2 cánulas orificio IV de ancho. Comience IV en bolo de fluido (1L tan rápido como sea posible para los adultos menos que el paciente presenta signos de sobrecarga).

D - Controlar el azúcar en la sangre - dextrosa IV si es baja.

E - Temperatura (calentarse si hipotermia), comprobar todo el cuerpo por lesiones / sangrado.

Cada 2 minutos realizan una comprobación circulatorio y permiten que la AED hacer una verificación de ritmo. El AED le dará instrucciones claras. Cada 2 ciclos dan adrenalina.
",
La Adrenalina Iv,"<b> Adultos </b>
1 mg (1 ml) cada 3 - 5 minutos.

<b> Los niños </b>
10 mcg / kg cada 3 - 5 minutos.
",
12.6 Envenenamiento,,
12.6.1 Mordeduras De Serpiente,,
Antecedentes,"Hasta 5 millones de serpiente muerde anualmente con 94000 - 125000 muertes a nivel mundial.

picaduras secas (una mordedura donde no se inyecta el veneno) se producen en entre el 25% - 50% de las mordeduras de serpientes, otra literatura muestra los números más altos de> 50%.

El resultado de una picadura venenosa depende de las especies de serpientes, cantidad de veneno, lugar de la picadura (cabeza y cuello son más peligrosos), la edad del paciente / peso / fitness y tiempo para recibir atención médica.
 
Las mordeduras de serpientes son más comunes entre las personas que viven en zonas rurales, con pocos recursos, que subsisten con ocupaciones de bajo costo, la agricultura no mecánico y otro campo.

trabajadores agrícolas, mujeres y niños son los grupos más frecuentemente mordidos por serpientes.
 
Panamá tiene la mayor incidencia de mordeduras de serpientes de América Central (2800 bocados por año).

<b> Esta región tiene dos tipos principales de serpientes </b>

serpientes neurotóxicos en la región (serpientes coral): bloqueo neuromuscular predominantemente inducidos por post-sinápticamente actuando neurotoxinas de bajo peso molecular que puede conducir a parálisis muscular.

serpientes veneno proteolíticas (fer de lance, conocido localmente como 'dos ​​equis.' y la bushmaster siendo los dos más comunes) que causan daño a los tejidos en el sitio de la mordedura.
",
Evaluación,"Síntomas: En función de las características del veneno neurotóxico (, etc.) proteolítica.

El paciente puede tener efectos locales como dolor y sensibilidad, hinchazón, sangrado o formación de ampollas. El sangrado puede ser localizada o difusa. Algunos venenos pueden matar el tejido alrededor del sitio de la picadura, y los órganos internos pueden estar implicados

Los sistemas nerviosos efectos: a nivel local cerca del área de la mordedura o afectan directamente el sistema nervioso (parando músculos de la respiración). Inicialmente víctimas pueden tener problemas de la vista, hablar y problemas respiratorios y entumecimiento cerca o distante al sitio de la mordedura.

muerte muscular: necrosis o rabdomiolisis.

Ojos: dolor ocular directa y daño con veneno en los ojos.

Una complicación poco frecuente en las extremidades muy hinchado es un síndrome compartimental.",
Primeros Auxilios Para Las Mordeduras De Serpiente,"<b> Los primeros auxilios para mordeduras de serpientes </b>
Inmediatamente alejarse de la zona donde ocurrió la picadura. Si la serpiente está todavía unido uso un palo o una herramienta para que sea soltó. víctimas de serpientes de mar necesitan ser movidos a tierra firme para evitar el ahogamiento.

Retire nada apretado alrededor de la parte de la mordida del cuerpo (ej .: anillos, pulseras, brazaletes), ya que pueden causar daño si se produce hinchazón.

Tranquilizar a la víctima. Muchas mordeduras de serpientes son causados ​​por serpientes no venenosas. E incluso después de la mayor serpiente venenosa muerde el riesgo de muerte no es inmediata.

Inmovilizar a la persona por completo. Entablillar la extremidad para mantenerlo quieto. Utilice una camilla improvisada para llevar a la persona a un lugar donde el transporte está disponible para llevarlos a un centro de salud.

Nunca utilice un torniquete arterial apretado.

El Método de Australia Inmovilización de presión vendaje (PIB) sólo se recomienda para las mordeduras de serpientes neurotóxicos que no causan inflamación local.

La aplicación de presión en el sitio de la mordedura con una almohadilla de presión puede ser adecuado en algunos casos.

Evitar los métodos tradicionales de primeros auxilios, medicamentos a base de hierbas y otras formas no probadas o inseguras de primeros auxilios.

Transportar a la persona a un hospital.
 
<b> Administración antes o durante el transporte. </b>
En el momento de un bocado, la piedra angular de la atención es la inmovilización completa de la parte del cuerpo afectada y traslado inmediato a un centro médico.

Torniquetes y heridas de corte pueden empeorar los efectos del veneno y no deben ser utilizados como primeros auxilios.

Medidas adicionales incluyen mantener mordidos miembro inferior de corazón, limpieza de la herida para disminuir el riesgo de infección, la terapia de apoyo como el apoyo de las vías respiratorias, y la administración de la vacuna contra el tétanos tras la descarga si la persona ha sido vacunado adecuadamente contra el tétanos (OMS).
 
La mejora de los resultados clínicos para las víctimas de mordedura de serpiente necesita mucho más que sólo el acceso a los antivenenos seguras. El acceso intravenoso debe lograrse temprano, estado de hidratación determinar y corregir si es necesario, y los signos vitales deben ser estrechamente monitorizados. El paracetamol puede darse para el dolor local (que puede ser grave).

El vómito puede ocurrir, por lo que colocar a la persona sobre su lado izquierdo en posición de recuperación. Vigilar de cerca de las vías respiratorias y la respiración y estar listo para resucitar si es necesario.
 
<b> Contraindicado </b>.
Cortar en el lugar de la picadura puede dañar los órganos subyacentes, aumentar el riesgo de infección, y la succión en el sitio de la mordedura no da lugar a la eliminación del veneno.

No use hielo. El hielo no se desactiva el veneno y puede causar congelación.

NO utilice una descarga eléctrica. Los choques no son eficaces y pueden causar quemaduras o problemas eléctricos al corazón.

No utilice alcohol. El alcohol puede amortiguar el dolor, sino que también hace que los vasos sanguíneos locales más grandes, que pueden aumentar la absorción del veneno.

NO utilice torniquetes o bandas de constricción. Estos no se han demostrado eficaces, pueden causar un aumento en el daño tisular, y podría costar a la víctima una extremidad.
 
<b> Nota adicional </b>
El antiveneno también puede causar la enfermedad del suero dentro de 5-10 días de terapia. La enfermedad del suero provoca fiebre, dolor en las articulaciones, picazón, inflamación de ganglios linfáticos y fatiga, pero no es peligrosa para la vida.
 
En los pacientes asintomáticos (mordeduras sin signos de envenenamiento y con coagulación normal), el seguimiento debe continuar durante al menos 12 horas, 24 horas preferidas.
",
Administración,"<b> Dos o más de los siguientes </b> *

Implicación del tejido de piel de la mucosa (por ejemplo urticaria generalizada, comezón-ras, hinchados labios-lengua-úvula).

compromiso respiratorio (por ejemplo, disnea, sibilancias broncoespasmo, estridor, la reducción de PEF, hipoxemia).

síntomas reducidos BP o asociados (por ejemplo, hipotonía [colapso], síncope, incontinencia).

síntomas gastrointestinales persistentes (dolor abdominal, por ejemplo, calambres, vómitos).

* <I> ocurriendo rápidamente después de la exposición (minutos a varias horas) a un posible alérgeno para ese paciente. </ I>

Siempre se debe considerar Angio-edema como un efecto secundario, cuando el paciente está usando un inhibidor del ACE.

Síntomas de la piel y los signos pueden estar ausentes si un paciente ha tomado ya un antihistamínico H1.
",
12.6.2 Picaduras De Escorpión,,
Antecedentes,"picaduras de escorpiones son también un problema importante de salud pública en el mundo en desarrollo tropical.

30 de 1.500 especies son pretender ser fatal.

Hay hasta 1,2 millones de picaduras anualmente con 3250 muertes.

Esto debido a que sólo 30 de 1.500 especies dan mordeduras fatales.

La tasa de mortalidad es inferior al 2% de los adultos sanos.",
Administración,,scorpion_table
,,
$Medicamentos Esenciales,,
Información De Medicamentos,"Esta sección contiene todos los medicamentos en los médicos flotantes Clinical Guidelines.

Cualquier deseche medicamentos en esta lista no serán almacenados en nuestra farmacia y no serán aceptadas como una donación.

En ocasiones, un paciente puede necesitar un medicamento que no figuran aquí. En estos casos, hable con el proveedor de la medicación plomo sobre el mejor curso de acción.

<b> Opciones para el suministro de otros medicamentos incluirían: </b>

-Dar al paciente una receta para ir a una farmacia privada.

-Nuestra gerente de la farmacia compra el medicamento y darle al paciente durante el seguimiento.


<I> Todas las informaciones de medicamentos en esta sección se toma del Formulario Nacional Británico (adultos o niños). </ I>",
13.1 Oral Medicamentos A - B,,
"Aspirina (Ácido Acetilsalicílico)
Disp. Tabletas","<b> Formulación </b>
81 mg.
325 mg.

<b> Clase </b>
Antiplaquetario.
AINE.

<b> Indicaciones </b>
El tratamiento agudo de eventos vasculares:
(El accidente cerebrovascular isquémico, infarto de miocardio).
325 mg una vez al día durante 1 mes.

profilaxis secundaria de eventos vasculares:
OD 81 mg, de por vida.

<b> precauciones, efectos secundarios, contraindicaciones </b>
-Los niños menores de 12 años - causa el síndrome de Reye).
úlceras -Gastritis / péptica.
Si no -Kidney (dosis altas).
: Sangrado trastornos.
Stroke -Haemorrhagic.
",
"Aciclovir
Tabletas","<b> Formulación </b>
200 mg.

<b> Clase </b>
Antivirulento.

<b> Indicaciones </b>
Herpes Simple,
infecciones por herpes zoster.
Comenzar el tratamiento dentro de las 72 horas de la aparición de la erupción.

<b> Dosificación </b>
Adulto:
El herpes genital primer episodio:
200 mg 5 veces al día durante 7 días.

El herpes genital episodios recurrentes:
800 mg 3 veces al día durante 2 días

Infección de herpes:
800 mg 5 veces al día durante 7 días.

<b> precauciones, efectos secundarios, contraindicaciones </b>
Dolor abdominal, diarrea, fatiga, náuseas, dolor de cabeza, fotosensibilidad, prurito, erupción cutánea, urticaria, vómitos.

Mantener la hidratación, particularmente en los ancianos.

",
Chew./Disp Albendazol. Tabletas,"<b> Formulación </b>
400 mg.

<b> Clase </b>
Vermífugo.

<b> Indicación </b>
El tratamiento de gusanos GI.
 
 <b> Dosificación </b>
6m -2 años - 200 mg una vez.
 
Edad más de 2 años - 400 mg una vez.

<b> precauciones, efectos secundarios, contraindicaciones </b>
1er trimestre del embarazo.
Menores de 6 meses.
",
"Amitriptilina
Tabletas","<b> Formulación </b>
25mg

<b> Clase </b>
Tricíclicos antidepresivos.

<b> Indicaciones </b>
Migraña.
Dolor neuropático.

<b> Dosificación </b>
Inicialmente 12,5 mg una vez por la noche aumentó a 25 mg después de una semana.

<b> precauciones, efectos secundarios, contraindicaciones </b>
Somnolencia.
prolongación del intervalo QT.
síndrome anticolinérgico.
",
"Amlodipino
Tabletas","<b> Formulación </b>
5 mg.

<b> Clase </b>
Bloqueador de canales de calcio.

<b> Indicación </b>
Hipertensión.

<b> Dosificación </b>
5 mg OD inicialmente, luego aumentar si es necesario hasta un máximo de OD 10 mg.

<b> precauciones, efectos secundarios, contraindicaciones </b>
Hipotensión postural.
El edema periférico.
",
"Amoxicillin
100 Ml Para Sus Oral. Botella","<b> Formulación </b>
250 mg / 5 ml.

<b> Clase </b>
Beta-lactama de antibióticos.

<b> Indicaciones </b>
Las infecciones bacterianas en los niños:
Primera línea para las infecciones del oído / nariz / garganta, IAVAIs, infecciones del tracto urinario.

<b> Dosificación </b>
1-11 meses:
125 mg 3 veces al día;
hasta 30 mg / kg 3 veces al día.

1-4 años:
250 mg 3 veces al día;
hasta 30 mg / kg 3 veces al día.

5-11 años:
500 mg 3 veces al día;
hasta 30 mg / kg 3 veces al día.
(Máx. Por dosis 1 g).

12-17 años:
500 mg 3 veces al día;
hasta 1 g 3 veces al día.

<b> precauciones, efectos secundarios, contraindicaciones </b>
Evitar si la fiebre glandular aguda
(Uso eritromicina).
",
"Amoxicillin
Masticar. Tabletas","<b> Formulación </b>
250 mg.
 
<b> Clase </b>
Beta-lactama de antibióticos.

<b> Indicaciones </b>
Las infecciones bacterianas en los niños:
Primera línea para las infecciones del oído / nariz / garganta, IAVAIs, infecciones del tracto urinario.

Ver ‘100 ml amoxicilina para el SUS. botella’para las dosis.

<b> precauciones, efectos secundarios, contraindicaciones </b>
Evitar si la fiebre glandular aguda.
",
"Amoxicillin
Cápsulas","<b> Formulación </b>
500 mg.

<b> Clase </b>
Beta-lactama de antibióticos. (Amplio espectro).

<b> Indicaciones </b>
infecciones bacterianas en adultos:
Primera línea para las infecciones del oído / nariz / garganta, IAVAIs, IU (en las mujeres).

<b> Dosificación </b>
500 mg - 1 g 3 veces al día.
ENT 5-7 días.
RLIT 5-7 días.
ITU 3 días.

<b> precauciones, efectos secundarios, contraindicaciones </b>
Evitar si la fiebre glandular aguda.
",
"Atenolol
Tabletas","<b> Formulación </b>
50 mg.

<b> Clase </b>
Bloqueador beta.

<b> Indicaciones </b>
La hipertensión (si la enfermedad cardiovascular conocida).
Angina.
Taquiarritmia.
profilaxis de la migraña,
Ataques de ansiedad.

<b> Dosificación </b>
50 mg una vez al día. Los efectos secundarios aumentan en dosis más altas.

<b> precauciones, efectos secundarios, contraindicaciones </b>
Enfermedad vascular periférica.
Asma.
Bradicardia.
Hipotensión.
",
Los Comprimidos De Azitromicina,"<b> Formulación </b>
250 mg.

<b> Clase </b>
Antibiótico macrólido.

<b> Indicaciones </b>
Infecciones bacterianas:
De primera línea para infecciones de transmisión sexual.
 
2ª línea para:
, infecciones ORL respiratorios, IVRI (si eritromicina no disponible).

<b> Dosificación </b>
La gonorrea sin complicaciones -
dosis stat 1g.

infecciones respiratorias / piel / ENT / GI:
6 meses-17 años:
10 mg / kg una vez al día durante 3 días.

adultos:
500 mg una vez al día durante 3 días.
 
 
 
",
"Azitromicina, Sus Oral De 100 Ml., Botellas.","<b> Formulación </b>
200 mg / 5 ml.

<b> Clase </b>
antibiótico macrólido.

<b> Indicaciones </b>
Las infecciones bacterianas en niños.
El impétigo, 2ª línea de la neumonía en los niños.
infecciones respiratorias / piel / ENT / GI:

<b> Dosificación </b>
6 meses-17 años:
10 mg / kg una vez al día durante 3 días.

",
"Beclometasona
200 Disparos, Inhalador.","<b> Formulación </b>
0,05 mg / puff.

<b> Clase </b>
corticosteroides inhalados.

<b> Indicaciones </b>
El asma y la EPOC cuando el control no es suficiente con salbutamol INH.

<b> Dosificación </b>
Menores de 12 años
1-2 inhalaciones dos veces al día.

Más de 12 años
4 inhalaciones dos veces al día

<b> precauciones, efectos secundarios, contraindicaciones </b>
candida oral si no se enjuaga la boca después de cada uso.
",
13.2 Los Medicamentos Orales C - E,,
"Carbonato De Calcio, Masticar. Los Comprimidos.","<b> Formulación </b>
500 mg.

<b> Clase </b>
Neutralizador de acidez.
Reflujo ácido.

<b> Dosificación </b>
1 -2 tabletas según sea necesario para los síntomas de reflujo ácido.

<b> precauciones, efectos secundarios, contraindicaciones </b>
Aumento del riesgo de enfermedad cardiovascular si se usa a largo plazo sin vitamina D.
",
"Carbamazepina
Tabletas","<b> Formulación </b>
200 mg.

<b> Clase </b>
Antiepiléptico.
Epilepsia (parcial o generalizado).
Neuralgia trigeminal.

<b> Dosificación </b>
Adulto:
Inicialmente 400 mg al día en 1-2 dosis divididas,
aumento hasta que los síntomas controlados;
usual dosis de 400-600 mg al día en 1-2 dosis divididas;
máximo 1,6 g por día.

Niños 5-11 años
Inicialmente 5 mg / kg al día en 1-2 dosis divididas,
luego aumentó en pasos de 2,5-5 mg / kg cada 3-7 días según se requiera,
dosis debe aumentarse lentamente;
mantenimiento 10-15 mg / kg al día en 1-2 dosis divididas,
aumentar si es necesario hasta 20 mg / kg al día en 1-2 dosis divididas.

Niño 12-17 años
Inicialmente 100-400 mg al día en 1-2 dosis divididas,
luego aumentado a 400-1200 mg al día en 1-2 dosis divididas,
aumentar si es necesario hasta 1,8 g al día en 1-2 dosis divididas,
dosis debe incrementarse lentamente.
",
